"""Question ID"",""Subject"",""Question Text"",""Options"",""Correct Answer"",""Difficulty Level"",""Skill Type"",""Topic"",""Subtopic"""
"36,Mathematics,What is the probability of getting a head when flipping a fair coin?,""A) 1/4, B) 1/2, C) 3/4, D) 1"",B) 1/2,Easy,Conceptual,Probability"
"37,Mathematics,The dot product of two perpendicular vectors is:,""A) 1, B) 0, C) -1, D) ∞"",B) 0,Easy,Conceptual,Vectors"
"38,Mathematics,The inverse of the function f(x) = 2x + 3 is:,""A) (x-3)/2, B) (x+3)/2, C) (x+3)/4, D) (x-2)/3"",A) (x-3)/2,Medium,Computational,Functions"
"39,Mathematics,Find the derivative of ln(x^2 + 1).,""A) 1/(x^2 + 1), B) 2x/(x^2 + 1), C) x^2, D) x ln(x)"",B) 2x/(x^2 + 1),Medium,Differentiation,Calculus"
"40,Mathematics,Find the sum of the infinite geometric series 3 + 1 + 1/3 + 1/9 + ...,""A) 9/2, B) 4, C) 3, D) 10/3"",C) 3,Medium,Computational,Sequences"
"41,Physics,The speed of light in vacuum is approximately:,""A) 2 × 10^8 m/s, B) 3 × 10^8 m/s, C) 5 × 10^7 m/s, D) 1 × 10^9 m/s"",B) 3 × 10^8 m/s,Easy,Conceptual,Optics"
"42,Physics,Which of the following laws is related to conservation of energy?,""A) Newton’s First Law, B) Law of Thermodynamics, C) Kirchhoff’s Law, D) Ampere’s Law"",B) Law of Thermodynamics,Easy,Conceptual,Thermodynamics"
"43,Physics,What is the unit of angular velocity?,""A) rad/s, B) m/s, C) kg m/s, D) Joule"",A) rad/s,Easy,Conceptual,Rotational Motion"
"44,Physics,Which of the following is a scalar quantity?,""A) Force, B) Acceleration, C) Work, D) Velocity"",C) Work,Easy,Conceptual,Scalars and Vectors"
"45,Physics,What is the SI unit of pressure?,""A) Joule, B) Pascal, C) Newton, D) Watt"",B) Pascal,Easy,Conceptual,Fluid Mechanics"
"46,Physics,What is the potential energy of an object of mass m at height h?,""A) mgh, B) mh, C) mg/h, D) m/h"",A) mgh,Easy,Conceptual,Work and Energy"
"47,Physics,What is the number of protons in a hydrogen atom?,""A) 1, B) 2, C) 3, D) 4"",A) 1,Easy,Conceptual,Atomic Structure"
"48,Physics,In an elastic collision, which quantity is always conserved?,""A) Kinetic Energy, B) Momentum, C) Both A and B, D) Neither A nor B"",C) Both A and B,Medium,Conceptual,Collisions"
"49,Physics,Which type of mirror is used in car rear-view mirrors?,""A) Plane, B) Concave, C) Convex, D) Parabolic"",C) Convex,Easy,Conceptual,Optics"
"50,Physics,What is the time period of a simple pendulum of length L?,""A) 2π√(L/g), B) π√(g/L), C) 2π√(g/L), D) L/g"",A) 2π√(L/g),Medium,Computational,Oscillations"
"51,Chemistry,Which law states that equal volumes of gases contain equal molecules at constant temperature and pressure?,""A) Boyle’s Law, B) Charles’ Law, C) Avogadro’s Law, D) Dalton’s Law"",C) Avogadro’s Law,Easy,Conceptual,Gases"
"52,Chemistry,Which metal is the most reactive?,""A) Copper, B) Sodium, C) Silver, D) Iron"",B) Sodium,Easy,Conceptual,Metals and Non-Metals"
"53,Chemistry,Which gas is responsible for the greenhouse effect?,""A) O2, B) N2, C) CO2, D) He"",C) CO2,Easy,Conceptual,Environmental Chemistry"
"54,Chemistry,Which of the following is an organic acid?,""A) H2SO4, B) HCl, C) CH3COOH, D) HNO3"",C) CH3COOH,Easy,Conceptual,Acids and Bases"
"55,Chemistry,What is the IUPAC name of CH3CH2OH?,""A) Ethanol, B) Methanol, C) Propanol, D) Butanol"",A) Ethanol,Easy,Conceptual,Organic Chemistry"
"56,Chemistry,Which of the following has the highest boiling point?,""A) H2O, B) NH3, C) CH4, D) CO2"",A) H2O,Medium,Conceptual,Physical Chemistry"
"57,Chemistry,Which of the following has a pH greater than 7?,""A) HCl, B) NaOH, C) CH3COOH, D) NH4Cl"",B) NaOH,Easy,Conceptual,Acid-Base Chemistry"
"58,Chemistry,What is the molecular formula of glucose?,""A) C6H12O6, B) C2H4O2, C) C12H22O11, D) C3H6O3"",A) C6H12O6,Easy,Conceptual,Biomolecules"
"59,Chemistry,What is the common name for sodium bicarbonate?,""A) Baking Soda, B) Bleaching Powder, C) Washing Soda, D) Quick Lime"",A) Baking Soda,Easy,Conceptual,Inorganic Chemistry"
"60,Chemistry,Which of the following is a noble gas?,""A) Oxygen, B) Helium, C) Nitrogen, D) Carbon"",B) Helium,Easy,Conceptual,Periodic Table"
"1,Mathematics,If f(x) = x^2 + 3x + 2, then what is the value of f(−1)?,""A) 0, B) 2, C) -2, D) 4"",A) 0,Easy,Conceptual,Functions"
"2,Mathematics,What is the determinant of the matrix [[2,3],[4,5]]?,""A) -2, B) 2, C) 1, D) 0"",A) -2,Medium,Computational,Matrices"
"3,Mathematics,Find the derivative of sin(x^2) with respect to x.,""A) cos(x^2), B) 2x cos(x^2), C) 2x sin(x^2), D) -sin(x^2)"",B) 2x cos(x^2),Medium,Differentiation,Calculus"
"4,Mathematics,What is the integral of 1/x dx?,""A) x, B) ln(x), C) 1/x, D) x^2/2"",B) ln(x),Easy,Integration,Calculus"
"5,Mathematics,What is the sum of the first 10 natural numbers?,""A) 55, B) 45, C) 100, D) 50"",A) 55,Easy,Computational,Sequences"
"6,Mathematics,Which of the following is a root of the equation x^2 - 5x + 6 = 0?,""A) 1, B) 2, C) 3, D) 4"",B) 2,Easy,Algebraic,Quadratic Equations"
"7,Mathematics,What is the value of cos(π/3)?,""A) 1/2, B) √3/2, C) 1, D) 0"",A) 1/2,Easy,Conceptual,Trigonometry"
"8,Mathematics,The sum of the roots of x^2 + px + q = 0 is given by:,""A) -q/p, B) -p/q, C) -p, D) p"",C) -p,Medium,Conceptual,Quadratic Equations"
"9,Mathematics,If a function f(x) is continuous in [a,b], then which theorem guarantees an intermediate value?,""A) Mean Value Theorem, B) L'Hôpital's Rule, C) Rolle’s Theorem, D) Intermediate Value Theorem"",D) Intermediate Value Theorem,Medium,Conceptual,Continuity"
"10,Mathematics,Find the area under the curve y = x^2 from x = 0 to x = 1.,""A) 1, B) 1/2, C) 1/3, D) 2/3"",C) 1/3,Medium,Computational,Integration"
"11,Physics,What is the SI unit of power?,""A) Joule, B) Newton, C) Watt, D) Pascal"",C) Watt,Easy,Conceptual,Work and Energy"
"12,Physics,What is the acceleration due to gravity on Earth?,""A) 8.9 m/s^2, B) 10.5 m/s^2, C) 9.8 m/s^2, D) 11.2 m/s^2"",C) 9.8 m/s^2,Easy,Conceptual,Gravitation"
"13,Physics,Which Newton’s law explains the concept of inertia?,""A) First Law, B) Second Law, C) Third Law, D) Law of Gravitation"",A) First Law,Easy,Conceptual,Newton's Laws"
"14,Physics,What is the dimensional formula for force?,""A) MLT^-2, B) ML^-1T^2, C) MLT^2, D) M^-1LT^-2"",A) MLT^-2,Medium,Computational,Dimensional Analysis"
"15,Physics,Which of the following is an example of simple harmonic motion?,""A) Motion of a car, B) Motion of a pendulum, C) Motion of a cyclist, D) Motion of a rocket"",B) Motion of a pendulum,Easy,Conceptual,Oscillations"
"16,Physics,The work done by a force is zero when the force is:,""A) Perpendicular to displacement, B) In the direction of displacement, C) Opposite to displacement, D) Constant"",A) Perpendicular to displacement,Medium,Conceptual,Work and Energy"
"17,Physics,What is the escape velocity on Earth?,""A) 5 km/s, B) 9.8 km/s, C) 11.2 km/s, D) 15 km/s"",C) 11.2 km/s,Medium,Computational,Gravitation"
"18,Physics,Which of the following waves requires a medium to propagate?,""A) Light, B) X-rays, C) Sound, D) Gamma rays"",C) Sound,Medium,Conceptual,Waves"
"19,Physics,If a charge is moving perpendicular to a magnetic field, it follows:,""A) Straight-line path, B) Circular path, C) Elliptical path, D) Random path"",B) Circular path,Medium,Conceptual,Magnetism"
"20,Physics,What is the SI unit of resistivity?,""A) Ohm, B) Ohm-meter, C) Volt, D) Ampere"",B) Ohm-meter,Easy,Conceptual,Electricity"
"21,Chemistry,What is the oxidation state of Cr in K2Cr2O7?,""A) +3, B) +6, C) +4, D) +2"",B) +6,Medium,Computational,Oxidation State"
"22,Chemistry,Which gas is used in the Haber process?,""A) Oxygen, B) Nitrogen, C) Hydrogen, D) Carbon dioxide"",B) Nitrogen,Medium,Conceptual,Industrial Chemistry"
"23,Chemistry,Which of the following acids is strongest?,""A) HF, B) HCl, C) HBr, D) HI"",D) HI,Medium,Conceptual,Acid Strength"
"24,Chemistry,What is the molecular formula of benzene?,""A) C5H10, B) C6H6, C) C6H12, D) C7H8"",B) C6H6,Easy,Conceptual,Organic Chemistry"
"25,Chemistry,Which gas turns limewater milky?,""A) Oxygen, B) Carbon dioxide, C) Nitrogen, D) Hydrogen"",B) Carbon dioxide,Easy,Conceptual,Gases"
"26,Chemistry,Which of the following is an example of a non-polar molecule?,""A) NH3, B) CO2, C) H2O, D) SO2"",B) CO2,Medium,Conceptual,Chemical Bonding"
"27,Chemistry,Which element has the highest electronegativity?,""A) Oxygen, B) Fluorine, C) Nitrogen, D) Chlorine"",B) Fluorine,Easy,Conceptual,Periodic Trends"
"28,Chemistry,Which of the following solutions will have the lowest pH?,""A) HCl, B) NaOH, C) NH3, D) CH3COOH"",A) HCl,Easy,Conceptual,Acid-Base Chemistry"
"29,Chemistry,Which compound is used as an antiknock agent in petrol?,""A) Benzene, B) Tetraethyl lead, C) Ethanol, D) Methanol"",B) Tetraethyl lead,Hard,Conceptual,Organic Chemistry"
"30,Chemistry,Which metal reacts most vigorously with water?,""A) Na, B) Mg, C) Al, D) Fe"",A) Na,Medium,Conceptual,Metals and Non-Metals"
"1,Chemistry,Which of the following molecules has the highest bond order?,""A) O2, B) O2+, C) O2-, D) O2^2-"",B) O2+,Hard,Conceptual,Molecular Orbital Theory"
"2,Chemistry,For a first-order reaction, the half-life is independent of:,""A) Temperature, B) Initial concentration, C) Activation energy, D) Rate constant"",B) Initial concentration,Hard,Conceptual,Chemical Kinetics"
"3,Chemistry,Which of the following is an example of a pseudo-first-order reaction?,""A) Hydrolysis of an ester in acidic medium, B) Decomposition of N2O5, C) Radioactive decay, D) Ozone decomposition"",A) Hydrolysis of an ester in acidic medium,Hard,Conceptual,Chemical Kinetics"
"4,Chemistry,Which of the following does not exhibit hydrogen bonding?,""A) HF, B) H2O, C) NH3, D) CH4"",D) CH4,Medium,Conceptual,Intermolecular Forces"
"5,Chemistry,Which of the following will have the highest lattice energy?,""A) NaCl, B) MgO, C) CaF2, D) KBr"",B) MgO,Hard,Conceptual,Crystal Structure"
"6,Chemistry,Which of the following has the maximum number of unpaired electrons?,""A) Fe3+, B) Cr3+, C) Mn2+, D) Co2+"",C) Mn2+,Hard,Conceptual,Transition Elements"
"7,Chemistry,What is the major product of the reaction between benzene and CH3Cl in the presence of AlCl3?,""A) Benzyl chloride, B) Toluene, C) Chlorobenzene, D) Benzyl alcohol"",B) Toluene,Medium,Conceptual,Organic Reactions"
"8,Chemistry,Which of the following has the highest dipole moment?,""A) CO2, B) BF3, C) CHCl3, D) CCl4"",C) CHCl3,Medium,Conceptual,Molecular Geometry"
"9,Chemistry,Which of the following has the smallest bond angle?,""A) NH3, B) H2O, C) CH4, D) SF6"",B) H2O,Hard,Conceptual,VSEPR Theory"
"10,Chemistry,Which reagent is used for the selective oxidation of primary alcohols to aldehydes?,""A) KMnO4, B) PCC, C) CrO3 in H2SO4, D) O3"",B) PCC,Hard,Conceptual,Organic Reagents"
"11,Chemistry,The major product of Hofmann bromamide reaction is:,""A) Primary amine, B) Secondary amine, C) Tertiary amine, D) Nitro compound"",A) Primary amine,Hard,Conceptual,Organic Reactions"
"12,Chemistry,Which gas deviates most from ideal gas behavior?,""A) He, B) N2, C) NH3, D) CH4"",C) NH3,Medium,Conceptual,Gaseous State"
"13,Chemistry,Which of the following has the lowest pKa value?,""A) Acetic acid, B) Benzoic acid, C) Formic acid, D) Phenol"",C) Formic acid,Hard,Conceptual,Acid-Base Chemistry"
"14,Chemistry,Which compound has the highest boiling point?,""A) CH3CH2OH, B) CH3OCH3, C) CH3CH2CH3, D) CH3CHO"",A) CH3CH2OH,Medium,Conceptual,Intermolecular Forces"
"15,Chemistry,Which metal is used as a catalyst in the Haber process?,""A) Ni, B) Fe, C) Pt, D) Pd"",B) Fe,Medium,Conceptual,Industrial Chemistry"
"16,Chemistry,Which of the following has the largest atomic radius?,""A) Na, B) Mg, C) K, D) Ca"",C) K,Medium,Conceptual,Periodic Trends"
"17,Chemistry,Which of the following statements is true for lanthanides?,""A) They show +4 oxidation state commonly, B) They exhibit actinide contraction, C) They have high electronegativity, D) They have variable oxidation states"",D) They have variable oxidation states,Hard,Conceptual,Lanthanides & Actinides"
"18,Chemistry,Which of the following compounds will show geometrical isomerism?,""A) Butane, B) 2-Butene, C) 2-Methylpropene, D) Ethene"",B) 2-Butene,Hard,Conceptual,Stereochemistry"
"19,Chemistry,Which of the following acids is the strongest?,""A) HClO, B) HClO2, C) HClO3, D) HClO4"",D) HClO4,Hard,Conceptual,Acid Strength"
"20,Chemistry,The major product of the reaction of phenol with bromine water is:,""A) o-Bromophenol, B) p-Bromophenol, C) 2,4,6-Tribromophenol, D) 3-Bromophenol"",C) 2,4,6-Tribromophenol,Hard,Conceptual,Aromatic Reactions"
"21,Chemistry,Which is the correct order of increasing nucleophilicity in aqueous solution?,""A) I- < Br- < Cl- < F-, B) F- < Cl- < Br- < I-, C) Cl- < Br- < I- < F-, D) Br- < Cl- < F- < I-"",B) F- < Cl- < Br- < I-,Hard,Conceptual,Nucleophilicity"
"22,Chemistry,Which element has the highest ionization energy?,""A) Na, B) K, C) Mg, D) He"",D) He,Hard,Conceptual,Periodic Properties"
"23,Chemistry,Which of the following complexes will show optical isomerism?,""A) [Co(NH3)6]3+, B) [PtCl4]2-, C) [Cr(ox)3]3-, D) [Fe(CN)6]4-"",C) [Cr(ox)3]3-,Hard,Conceptual,Coordination Chemistry"
"24,Chemistry,Which of the following has the highest second ionization energy?,""A) Na, B) Mg, C) Al, D) Si"",A) Na,Hard,Conceptual,Periodic Trends"
"25,Chemistry,Which reagent is used for the oxidation of primary alcohols to carboxylic acids?,""A) KMnO4, B) LiAlH4, C) NaBH4, D) SOCl2"",A) KMnO4,Medium,Conceptual,Organic Reactions"
"26,Chemistry,Which of the following is an amphoteric oxide?,""A) Na2O, B) SO2, C) Al2O3, D) CO2"",C) Al2O3,Hard,Conceptual,Oxides"
"27,Chemistry,Which of the following compounds is aromatic?,""A) Cyclohexene, B) Benzene, C) Cyclooctatetraene, D) Cyclopentadienyl anion"",B) Benzene,Hard,Conceptual,Aromaticity"
"28,Chemistry,Which of the following elements has the highest electron affinity?,""A) F, B) Cl, C) Br, D) I"",A) F,Hard,Conceptual,Periodic Trends"
"29,Chemistry,Which of the following is a stronger base?,""A) NH3, B) PH3, C) AsH3, D) SbH3"",A) NH3,Hard,Conceptual,Acid-Base Chemistry"
"30,Chemistry,Which among the following will react fastest in SN1 reaction?,""A) CH3Cl, B) CH3CH2Cl, C) (CH3)3CCl, D) CH3CH2Br"",C) (CH3)3CCl,Hard,Conceptual,Reaction Mechanism"
"1,Chemistry,Which of the following molecules has the highest bond order?,""A) O2, B) O2+, C) O2-, D) O2^2-"",B) O2+,Hard,Conceptual,Molecular Orbital Theory"
"2,Chemistry,For a first-order reaction, the half-life is independent of:,""A) Temperature, B) Initial concentration, C) Activation energy, D) Rate constant"",B) Initial concentration,Hard,Conceptual,Chemical Kinetics"
"3,Chemistry,Which of the following is an example of a pseudo-first-order reaction?,""A) Hydrolysis of an ester in acidic medium, B) Decomposition of N2O5, C) Radioactive decay, D) Ozone decomposition"",A) Hydrolysis of an ester in acidic medium,Hard,Conceptual,Chemical Kinetics"
"4,Chemistry,Which of the following does not exhibit hydrogen bonding?,""A) HF, B) H2O, C) NH3, D) CH4"",D) CH4,Medium,Conceptual,Intermolecular Forces"
"5,Chemistry,Which of the following will have the highest lattice energy?,""A) NaCl, B) MgO, C) CaF2, D) KBr"",B) MgO,Hard,Conceptual,Crystal Structure"
"6,Chemistry,Which of the following has the maximum number of unpaired electrons?,""A) Fe3+, B) Cr3+, C) Mn2+, D) Co2+"",C) Mn2+,Hard,Conceptual,Transition Elements"
"7,Chemistry,What is the major product of the reaction between benzene and CH3Cl in the presence of AlCl3?,""A) Benzyl chloride, B) Toluene, C) Chlorobenzene, D) Benzyl alcohol"",B) Toluene,Medium,Conceptual,Organic Reactions"
"8,Chemistry,Which of the following has the highest dipole moment?,""A) CO2, B) BF3, C) CHCl3, D) CCl4"",C) CHCl3,Medium,Conceptual,Molecular Geometry"
"9,Chemistry,Which of the following has the smallest bond angle?,""A) NH3, B) H2O, C) CH4, D) SF6"",B) H2O,Hard,Conceptual,VSEPR Theory"
"10,Chemistry,Which reagent is used for the selective oxidation of primary alcohols to aldehydes?,""A) KMnO4, B) PCC, C) CrO3 in H2SO4, D) O3"",B) PCC,Hard,Conceptual,Organic Reagents"
"11,Chemistry,The major product of Hofmann bromamide reaction is:,""A) Primary amine, B) Secondary amine, C) Tertiary amine, D) Nitro compound"",A) Primary amine,Hard,Conceptual,Organic Reactions"
"12,Chemistry,Which gas deviates most from ideal gas behavior?,""A) He, B) N2, C) NH3, D) CH4"",C) NH3,Medium,Conceptual,Gaseous State"
"13,Chemistry,Which of the following has the lowest pKa value?,""A) Acetic acid, B) Benzoic acid, C) Formic acid, D) Phenol"",C) Formic acid,Hard,Conceptual,Acid-Base Chemistry"
"14,Chemistry,Which compound has the highest boiling point?,""A) CH3CH2OH, B) CH3OCH3, C) CH3CH2CH3, D) CH3CHO"",A) CH3CH2OH,Medium,Conceptual,Intermolecular Forces"
"15,Chemistry,Which metal is used as a catalyst in the Haber process?,""A) Ni, B) Fe, C) Pt, D) Pd"",B) Fe,Medium,Conceptual,Industrial Chemistry"
"16,Chemistry,Which of the following has the largest atomic radius?,""A) Na, B) Mg, C) K, D) Ca"",C) K,Medium,Conceptual,Periodic Trends"
"17,Chemistry,Which of the following statements is true for lanthanides?,""A) They show +4 oxidation state commonly, B) They exhibit actinide contraction, C) They have high electronegativity, D)"
"1,Chemistry,What is the atomic number of oxygen?,""A) 6, B) 7, C) 8, D) 9"",C) 8,Easy,Conceptual,Atomic Structure"
"2,Chemistry,Which element has the highest electronegativity?,""A) Oxygen, B) Fluorine, C) Chlorine, D) Nitrogen"",B) Fluorine,Medium,Conceptual,Periodic Table"
"3,Chemistry,What is the chemical formula of sulfuric acid?,""A) H2SO3, B) H2SO4, C) HCl, D) HNO3"",B) H2SO4,Easy,Conceptual,Acids and Bases"
"4,Chemistry,Which type of bond is formed between sodium and chlorine in NaCl?,""A) Covalent, B) Ionic, C) Hydrogen, D) Metallic"",B) Ionic,Easy,Conceptual,Chemical Bonding"
"5,Chemistry,What is the main component of natural gas?,""A) Methane, B) Ethane, C) Propane, D) Butane"",A) Methane,Easy,Conceptual,Organic Chemistry"
"6,Chemistry,Which gas is released during photosynthesis?,""A) Carbon dioxide, B) Oxygen, C) Nitrogen, D) Hydrogen"",B) Oxygen,Easy,Conceptual,Biochemistry"
"7,Chemistry,What is Avogadro's number?,""A) 6.02 × 10^22, B) 6.02 × 10^23, C) 6.02 × 10^24, D) 6.02 × 10^25"",B) 6.02 × 10^23,Medium,Conceptual,Mole Concept"
"8,Chemistry,Which metal is the best conductor of electricity?,""A) Copper, B) Silver, C) Gold, D) Aluminum"",B) Silver,Medium,Conceptual,Metals and Non-Metals"
"9,Chemistry,What is the pH of pure water at 25°C?,""A) 6, B) 7, C) 8, D) 9"",B) 7,Easy,Conceptual,Acids and Bases"
"10,Chemistry,Which type of reaction occurs when hydrogen and oxygen combine to form water?,""A) Decomposition, B) Combustion, C) Redox, D) Neutralization"",C) Redox,Medium,Conceptual,Chemical Reactions"
"""Q001"",""Physics"",""A particle moves with an initial velocity of 10 m/s and an acceleration of 2 m/s² for 5 s. What is the distance traveled?"",""A) 50 m;B) 75 m;C) 100 m;D) 125 m"",""B"",""Medium"",""Formula Application"",""Kinematics"""
"""Q002"",""Physics"",""If the spring constant k is doubled, how does the potential energy of a spring change for the same extension?"",""A) Halves;B) Remains same;C) Doubles;D) Quadruples"",""C"",""Easy"",""Conceptual Understanding"",""Work and Energy"""
"""Q003"",""Chemistry"",""What is the hybridization of carbon in CH₄?"",""A) sp;B) sp²;C) sp³;D) dsp²"",""C"",""Easy"",""Definition-Based Knowledge"",""Chemical Bonding"""
"""Q004"",""Chemistry"",""What is the molarity of Na⁺ ions in a 0.1 M NaCl solution?"",""A) 0.05 M;B) 0.1 M;C) 0.2 M;D) 0.15 M"",""B"",""Medium"",""Analytical Skills"",""Solutions"""
"""Q005"",""Mathematics"",""If sin θ + cos θ = 1, what is sin θ cos θ?"",""A) 0;B) 1/2;C) 1;D) 1/4"",""A"",""Hard"",""Logical Reasoning"",""Trigonometry"""
"""Q006"",""Mathematics"",""What is ∫₀¹ x² dx?"",""A) 1/3;B) 1/2;C) 1;D) 2/3"",""A"",""Medium"",""Formula Application"",""Calculus"""
"""Q007"",""Physics"",""A body is projected upward at 20 m/s. What is the maximum height? (g = 10 m/s²)"",""A) 10 m;B) 20 m;C) 30 m;D) 40 m"",""B"",""Easy"",""Formula Application"",""Projectile Motion"""
"""Q008"",""Chemistry"",""Which gas has the highest diffusion rate?"",""A) H₂;B) O₂;C) N₂;D) CO₂"",""A"",""Medium"",""Conceptual Understanding"",""States of Matter"""
"""Q009"",""Mathematics"",""The roots of x² - 5x + 6 = 0 are:"",""A) 2 and 3;B) 1 and 6;C) -2 and -3;D) 5 and 1"",""A"",""Easy"",""Formula Application"",""Quadratic Equations"""
"""Q010"",""Physics"",""Two resistors, 4 Ω and 6 Ω, are in parallel. What is the equivalent resistance?"",""A) 2.4 Ω;B) 5 Ω;C) 10 Ω;D) 1.5 Ω"",""A"",""Medium"",""Formula Application"",""Electricity"""
"""Q011"",""Physics"",""A car accelerates from rest at 5 m/s² for 4 s. What is its final velocity?"",""A) 10 m/s;B) 15 m/s;C) 20 m/s;D) 25 m/s"",""C"",""Easy"",""Formula Application"",""Kinematics"""
"""Q012"",""Chemistry"",""What is the oxidation state of sulfur in H₂SO₄?"",""A) +2;B) +4;C) +6;D) +8"",""C"",""Medium"",""Analytical Skills"",""Redox Reactions"""
"""Q013"",""Mathematics"",""What is the value of tan 45°?"",""A) 0;B) 1;C) √2;D) √3"",""B"",""Easy"",""Definition-Based Knowledge"",""Trigonometry"""
"""Q014"",""Physics"",""A 2 kg object falls freely for 2 s. What is its momentum? (g = 10 m/s²)"",""A) 20 kg·m/s;B) 40 kg·m/s;C) 60 kg·m/s;D) 80 kg·m/s"",""B"",""Medium"",""Formula Application"",""Laws of Motion"""
"""Q015"",""Chemistry"",""Which element has the highest electronegativity?"",""A) Na;B) Cl;C) F;D) O"",""C"",""Easy"",""Definition-Based Knowledge"",""Periodic Table"""
"""Q016"",""Mathematics"",""If 2x + 3 = 7, what is x?"",""A) 1;B) 2;C) 3;D) 4"",""B"",""Easy"",""Formula Application"",""Linear Equations"""
"""Q017"",""Physics"",""A wave has a frequency of 10 Hz and wavelength of 2 m. What is its speed?"",""A) 5 m/s;B) 10 m/s;C) 20 m/s;D) 40 m/s"",""C"",""Medium"",""Formula Application"",""Waves"""
"""Q018"",""Chemistry"",""What is the pH of a 0.01 M HCl solution?"",""A) 1;B) 2;C) 3;D) 4"",""B"",""Medium"",""Analytical Skills"",""Acids and Bases"""
"""Q019"",""Mathematics"",""What is the derivative of x³?"",""A) x²;B) 2x;C) 3x²;D) 3x"",""C"",""Medium"",""Formula Application"",""Calculus"""
"""Q020"",""Physics"",""A charge of 2 C experiences a force of 10 N in an electric field. What is the field strength?"",""A) 2 N/C;B) 5 N/C;C) 10 N/C;D) 20 N/C"",""B"",""Medium"",""Formula Application"",""Electrostatics"""
"""Q021"",""Physics"",""A ball is thrown at 30° with a speed of 20 m/s. What is the horizontal range? (g = 10 m/s²)"",""A) 20√3 m;B) 30√3 m;C) 40√3 m;D) 50√3 m"",""C"",""Hard"",""Formula Application"",""Projectile Motion"""
"""Q022"",""Chemistry"",""What is the IUPAC name of CH₃CH₂OH?"",""A) Methanol;B) Ethanol;C) Propanol;D) Butanol"",""B"",""Easy"",""Definition-Based Knowledge"",""Organic Chemistry"""
"""Q023"",""Mathematics"",""If log₂ 8 = x, what is x?"",""A) 1;B) 2;C) 3;D) 4"",""C"",""Medium"",""Formula Application"",""Logarithms"""
"""Q024"",""Physics"",""A lens has a focal length of 20 cm. What is its power?"",""A) 2 D;B) 5 D;C) 10 D;D) 20 D"",""B"",""Medium"",""Formula Application"",""Optics"""
"""Q025"",""Chemistry"",""Which of these is a noble gas?"",""A) Ne;B) N;C) O;D) F"",""A"",""Easy"",""Definition-Based Knowledge"",""Periodic Table"""
" ""Q001"",""Chemistry"",""What is the atomic number of carbon?"",""A) 6;B) 7;C) 8;D) 12"",""A"",""Easy"",""Definition-Based Knowledge"",""Inorganic Chemistry"",""Atomic Structure"""
"""Q002"",""Chemistry"",""The molar mass of CO₂ is:"",""A) 32 g/mol;B) 44 g/mol;C) 48 g/mol;D) 56 g/mol"",""B"",""Easy"",""Formula Application"",""Physical Chemistry"",""Mole Concept"""
"""Q003"",""Chemistry"",""What is the pH of a 0.01 M HCl solution?"",""A) 1;B) 2;C) 3;D) 4"",""B"",""Medium"",""Formula Application"",""Physical Chemistry"",""Acids and Bases"""
"""Q004"",""Chemistry"",""The oxidation state of sulfur in H₂SO₄ is:"",""A) +4;B) +6;C) +2;D) +8"",""B"",""Medium"",""Analytical Skills"",""Inorganic Chemistry"",""Redox Reactions"""
"""Q005"",""Chemistry"",""Which gas is known as 'laughing gas'?"",""A) N₂O;B) NO₂;C) CO₂;D) SO₂"",""A"",""Easy"",""Definition-Based Knowledge"",""Inorganic Chemistry"",""Chemical Bonding"""
"""Q006"",""Chemistry"",""The number of moles in 11.2 L of O₂ gas at STP is:"",""A) 0.25;B) 0.5;C) 1;D) 2"",""B"",""Medium"",""Formula Application"",""Physical Chemistry"",""Gaseous State"""
"""Q007"",""Chemistry"",""What is the hybridization of carbon in CH₄?"",""A) sp;B) sp²;C) sp³;D) dsp²"",""C"",""Easy"",""Conceptual Understanding"",""Organic Chemistry"",""Chemical Bonding"""
"""Q008"",""Chemistry"",""The rate of a reaction doubles when the temperature increases from 300 K to 310 K. What is the activation energy? (R = 8.314 J/mol·K)"",""A) 52.9 kJ/mol;B) 62.9 kJ/mol;C) 72.9 kJ/mol;D) 82.9 kJ/mol"",""A"",""Hard"",""Formula Application"",""Physical Chemistry"",""Chemical Kinetics"""
"""Q009"",""Chemistry"",""Which element has the highest electronegativity?"",""A) Oxygen;B) Fluorine;C) Chlorine;D) Nitrogen"",""B"",""Easy"",""Definition-Based Knowledge"",""Inorganic Chemistry"",""Periodic Table"""
"""Q010"",""Chemistry"",""The equilibrium constant Kc for the reaction 2A ⇌ B + C is 4. What is Kc for B + C ⇌ 2A?"",""A) 0.25;B) 0.5;C) 2;D) 4"",""A"",""Hard"",""Analytical Skills"",""Physical Chemistry"",""Chemical Equilibrium"""
"""Q011"",""Chemistry"",""What is the IUPAC name of CH₃CH₂OH?"",""A) Methanol;B) Ethanol;C) Propanol;D) Butanol"",""B"",""Easy"",""Definition-Based Knowledge"",""Organic Chemistry"",""Nomenclature"""
"""Q012"",""Chemistry"",""The molarity of a solution containing 4 g of NaOH in 250 mL is:"",""A) 0.1 M;B) 0.2 M;C) 0.4 M;D) 0.8 M"",""C"",""Medium"",""Formula Application"",""Physical Chemistry"",""Solutions"""
"""Q013"",""Chemistry"",""Which of the following is a noble gas?"",""A) Nitrogen;B) Helium;C) Oxygen;D) Hydrogen"",""B"",""Easy"",""Definition-Based Knowledge"",""Inorganic Chemistry"",""Periodic Table"""
